epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.08128,1.69578,2.19557,1.52175,0.40841,0.47269,0.31427,0.14892,2.0821,3.12753,2.13263,0.00048,0.00048,0.00048
2,13.8453,1.45746,1.61374,1.35864,0.07458,0.27027,0.03459,0.01073,2.93852,13.8059,3.00767,0.000970298,0.000970298,0.000970298
3,20.4517,1.50025,1.51741,1.33292,0.01313,0.16216,0.00427,0.0016,3.73754,215.681,23.443,0.0014507,0.0014507,0.0014507
4,26.9281,1.42115,1.45909,1.3226,0.0008,0.04505,0.00037,8e-05,nan,nan,nan,0.00192119,0.00192119,0.00192119
5,33.3675,1.5363,1.38595,1.32461,0.00129,0.04505,0.00038,8e-05,4.05808,125.033,6.52756,0.0019208,0.0019208,0.0019208
6,39.7472,1.48687,1.29809,1.30976,0.08288,0.02703,0.01087,0.00248,3.98619,4.6766,3.73276,0.001901,0.001901,0.001901
7,46.2318,1.40699,1.14683,1.275,0.00401,0.05405,0.00133,0.00045,3.6761,55.2896,4.69173,0.0018812,0.0018812,0.0018812
8,52.6938,1.48093,1.24038,1.28219,0.33742,0.28829,0.21095,0.1069,1.87715,3.81683,1.77376,0.0018614,0.0018614,0.0018614
9,59.1629,1.31669,1.12932,1.21488,0.38236,0.33333,0.22777,0.11629,1.93393,4.73092,1.75993,0.0018416,0.0018416,0.0018416
10,65.6681,1.26542,1.04616,1.18388,0.53302,0.35991,0.34337,0.18274,1.65316,4.33724,1.55372,0.0018218,0.0018218,0.0018218
11,72.3414,1.32733,1.10114,1.2271,0.54213,0.41441,0.4662,0.25126,1.54583,3.22223,1.41175,0.001802,0.001802,0.001802
12,79.1072,1.2826,1.04908,1.2046,0.54905,0.53153,0.49487,0.28413,1.53763,2.43497,1.42225,0.0017822,0.0017822,0.0017822
13,85.9182,1.22174,1.03289,1.18412,0.53576,0.43243,0.41015,0.2527,1.47517,1.94738,1.34023,0.0017624,0.0017624,0.0017624
14,92.5795,1.20384,0.99245,1.18673,0.40172,0.50815,0.38016,0.18754,1.62788,1.94475,1.52523,0.0017426,0.0017426,0.0017426
15,99.3712,1.19511,0.95457,1.15073,0.59008,0.6036,0.59694,0.35485,1.4351,1.41724,1.31331,0.0017228,0.0017228,0.0017228
16,106.152,1.16558,0.95648,1.16236,0.80274,0.45946,0.55164,0.31897,1.39734,1.36609,1.30999,0.001703,0.001703,0.001703
17,112.893,1.163,0.94771,1.1413,0.73948,0.53153,0.62505,0.36733,1.37948,1.49246,1.2577,0.0016832,0.0016832,0.0016832
18,119.82,1.18117,0.90592,1.13296,0.62435,0.65766,0.62738,0.36257,1.48122,1.35027,1.35544,0.0016634,0.0016634,0.0016634
19,126.667,1.17936,0.94996,1.16859,0.78677,0.43214,0.50368,0.31451,1.42305,1.4212,1.31784,0.0016436,0.0016436,0.0016436
20,133.302,1.13315,0.93757,1.13796,0.68931,0.57965,0.59487,0.36962,1.4061,1.25666,1.30087,0.0016238,0.0016238,0.0016238
21,140.033,1.09905,0.88522,1.10345,0.76369,0.61141,0.6442,0.38083,1.43986,1.25726,1.29218,0.001604,0.001604,0.001604
22,146.801,1.12114,0.8717,1.10591,0.77352,0.51351,0.58254,0.3645,1.30031,1.2679,1.25097,0.0015842,0.0015842,0.0015842
23,153.426,1.11914,0.84257,1.11229,0.73087,0.59459,0.63912,0.40898,1.30707,1.25476,1.25656,0.0015644,0.0015644,0.0015644
24,160.323,1.05752,0.81874,1.08256,0.66142,0.57658,0.59433,0.38004,1.36752,1.1591,1.27696,0.0015446,0.0015446,0.0015446
25,167.139,1.03115,0.75867,1.06005,0.74991,0.53153,0.58141,0.36047,1.34895,1.22642,1.28714,0.0015248,0.0015248,0.0015248
26,174.094,1.05671,0.79701,1.08997,0.60262,0.54054,0.52474,0.32681,1.42154,1.33119,1.33439,0.001505,0.001505,0.001505
27,180.927,1.0878,0.86938,1.10883,0.73931,0.53657,0.58326,0.35781,1.29997,1.30599,1.22444,0.0014852,0.0014852,0.0014852
28,187.597,1.03856,0.77764,1.08748,0.81971,0.52252,0.59992,0.37011,1.3411,1.19311,1.26931,0.0014654,0.0014654,0.0014654
